VCD info: dumpfile mips.vcd opened for output.

wire en_hzd = 1'b1; /* ハザード検出 */
wire en_fwd = 1'b1; /* フォワーディング */
wire en_dly = 1'b0; /* 遅延分岐 */

  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x x  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  00000000
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00001 | 00400004 | 3c011001 0 0  0  0  1 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 34300000 0 1  1  0 16 | 00000000 00001001 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 24040002 0 0  0  0  4 | 10010000 00000000 | 10010000 00000000 |  0  00000000
  00004 | 00400010 | ae040000 0 1 16  4  0 | 00000000 00000002 | 10010000 00000000 |  1  10010000
  00005 | 00400014 | 24040001 0 0  0  0  4 | 10010000 00000000 | 00000002 00000000 | 16  10010000
  00006 | 00400018 | ae040004 0 1 16  4  0 | 00000000 00000001 | 10010000 00000002 |  4  00000002
  00007 | 0040001c | 24040004 0 0  0  0  4 | 10010000 00000004 | 00000001 00000000 |  0  10010000
  00008 | 00400020 | ae040008 0 1 16  4  0 | 00000000 00000004 | 10010004 00000001 |  4  00000001
  00009 | 00400024 | 24040003 0 0  0  0  4 | 10010000 00000008 | 00000004 00000000 |  0  10010004
  0000a | 00400028 | ae04000c 0 1 16  4  0 | 00000000 00000003 | 10010008 00000004 |  4  00000004
  0000b | 0040002c | 24020001 0 0  0  0  2 | 10010000 0000000c | 00000003 00000000 |  0  10010008
  0000c | 00400030 | 0000000c 0 0  0  0  0 | 00000000 00000001 | 1001000c 00000003 |  4  00000003
  0000d | 00400034 | 00108820 0 0  0 16 17 | 00000000 00000000 | 00000001 00000000 |  0  1001000c
  0000e | 00400038 | 200a0000 0 0  0  0 10 | 00000000 10010000 | 00000000 00000000 |  2  00000001
  0000f | 0040003c | 200b0000 0 0  0  0 11 | 00000000 00000000 | 10010000 10010000 |  0  00000000
  00010 | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000000 | 17  10010000
  00011 | 00400044 | 8e290004 0 0 17  0  9 | 10010000 00000000 | 00000000 00000000 | 10  00000000
  00012 | 00400048 | 0109602a 1 0  8  9 12 | 10010000 00000004 | 10010000 00000000 | 11  00000000
  00013 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 10010004 00000000 |  8  00000002
  00014 | 0040004c | 15800002 1 0 12  0  0 | 00000002 00000001 | 00000000 00000000 |  9  00000001
  00015 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000000 00000001 |  0  00000000
  00016 | 00400050 | ae280004 0 0 17  8  0 | 00000000 00000002 | 00000000 00000000 | 12  00000000
  00017 | 00400054 | ae290000 0 0 17  9  0 | 10010000 00000004 | 00000000 00000000 |  0  00000000
  00018 | 00400058 | 22310004 0 0 17  0 17 | 10010000 00000000 | 10010004 00000002 |  0  00000000
  00019 | 0040005c | 216b0001 0 0 11  0 11 | 10010000 00000004 | 10010000 00000001 |  0  10010004
  0001a | 00400060 | 200c0003 0 0  0  0 12 | 00000000 00000001 | 10010004 00000000 |  0  10010000
  0001b | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000001 00000000 | 17  10010004
  0001c | 00400064 | 116c0001 0 1 11 12  0 | 00000000 00000000 | 00000003 00000000 | 11  00000001
  0001d | 00400068 | 0810000f 0 0  0  0  0 | 00000001 00000001 | 00000000 00000000 | 12  00000003
  0001e | 0040003c | 00000000 0 0  0  0  0 | 00000000 0000000f | 00000000 00000003 |  0  00000000
  0001f | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00020 | 00400044 | 8e290004 0 0 17  0  9 | 10010004 00000000 | 00000000 00000000 |  0  00000000
  00021 | 00400048 | 0109602a 1 0  8  9 12 | 10010004 00000004 | 10010004 00000000 |  0  00000000
  00022 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 10010008 00000000 |  8  00000002
  00023 | 0040004c | 15800002 1 0 12  0  0 | 00000002 00000004 | 00000000 00000000 |  9  00000004
  00024 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000001 00000004 |  0  00000000
  00025 | 00400054 | 00000000 0 0  0  0  0 | 00000001 00000002 | 00000000 00000000 | 12  00000001
  00026 | 00400058 | 22310004 0 0 17  0 17 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00027 | 0040005c | 216b0001 0 0 11  0 11 | 10010004 00000004 | 00000000 00000000 |  0  00000000
  00028 | 00400060 | 200c0003 0 0  0  0 12 | 00000001 00000001 | 10010008 00000000 |  0  00000000
  00029 | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000002 00000000 | 17  10010008
  0002a | 00400064 | 116c0001 0 1 11 12  0 | 00000000 00000000 | 00000003 00000000 | 11  00000002
  0002b | 00400068 | 0810000f 0 0  0  0  0 | 00000002 00000001 | 00000000 00000000 | 12  00000003
  0002c | 0040003c | 00000000 0 0  0  0  0 | 00000000 0000000f | 00000000 00000003 |  0  00000000
  0002d | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  0002e | 00400044 | 8e290004 0 0 17  0  9 | 10010008 00000000 | 00000000 00000000 |  0  00000000
  0002f | 00400048 | 0109602a 1 0  8  9 12 | 10010008 00000004 | 10010008 00000000 |  0  00000000
  00030 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 1001000c 00000000 |  8  00000004
  00031 | 0040004c | 15800002 1 0 12  0  0 | 00000004 00000003 | 00000000 00000000 |  9  00000003
  00032 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000000 00000003 |  0  00000000
  00033 | 00400050 | ae280004 0 0 17  8  0 | 00000000 00000002 | 00000000 00000000 | 12  00000000
  00034 | 00400054 | ae290000 0 0 17  9  0 | 10010008 00000004 | 00000000 00000000 |  0  00000000
  00035 | 00400058 | 22310004 0 0 17  0 17 | 10010008 00000000 | 1001000c 00000004 |  0  00000000
  00036 | 0040005c | 216b0001 0 0 11  0 11 | 10010008 00000004 | 10010008 00000003 |  0  1001000c
  00037 | 00400060 | 200c0003 0 0  0  0 12 | 00000002 00000001 | 1001000c 00000000 |  0  10010008
  00038 | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000003 00000000 | 17  1001000c
  00039 | 00400064 | 116c0001 0 1 11 12  0 | 00000000 00000000 | 00000003 00000000 | 11  00000003
  0003a | 00400068 | 00000000 0 0  0  0  0 | 00000003 00000001 | 00000000 00000000 | 12  00000003
  0003b | 0040006c | 200b0000 0 0  0  0 11 | 00000000 00000000 | 00000000 00000003 |  0  00000000
  0003c | 00400070 | 214a0001 0 0 10  0 10 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  0003d | 00400074 | 00108820 0 0  0 16 17 | 00000000 00000001 | 00000000 00000000 |  0  00000000
  0003e | 00400078 | 200c0004 0 0  0  0 12 | 00000000 10010000 | 00000001 00000000 | 11  00000000
  0003f | 0040007c | 154cfff0 1 0 10 12  0 | 00000000 00000004 | 10010000 10010000 | 10  00000001
  00040 | 0040007c | 154cfff0 0 1 10 12  0 | 00000000 00000000 | 00000004 00000000 | 17  10010000
  00041 | 0040003c | 00000000 0 0  0  0  0 | 00000001 fffffff0 | 00000000 00000000 | 12  00000004
  00042 | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000004 |  0  00000000
  00043 | 00400044 | 8e290004 0 0 17  0  9 | 10010000 00000000 | 00000000 00000000 |  0  00000000
  00044 | 00400048 | 0109602a 1 0  8  9 12 | 10010000 00000004 | 10010000 00000000 |  0  00000000
  00045 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 10010004 00000000 |  8  00000001
  00046 | 0040004c | 15800002 1 0 12  0  0 | 00000001 00000002 | 00000000 00000000 |  9  00000002
  00047 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000001 00000002 |  0  00000000
  00048 | 00400054 | 00000000 0 0  0  0  0 | 00000001 00000002 | 00000000 00000000 | 12  00000001
  00049 | 00400058 | 22310004 0 0 17  0 17 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  0004a | 0040005c | 216b0001 0 0 11  0 11 | 10010000 00000004 | 00000000 00000000 |  0  00000000
  0004b | 00400060 | 200c0003 0 0  0  0 12 | 00000000 00000001 | 10010004 00000000 |  0  00000000
  0004c | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000001 00000000 | 17  10010004
  0004d | 00400064 | 116c0001 0 1 11 12  0 | 00000000 00000000 | 00000003 00000000 | 11  00000001
  0004e | 00400068 | 0810000f 0 0  0  0  0 | 00000001 00000001 | 00000000 00000000 | 12  00000003
  0004f | 0040003c | 00000000 0 0  0  0  0 | 00000000 0000000f | 00000000 00000003 |  0  00000000
  00050 | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00051 | 00400044 | 8e290004 0 0 17  0  9 | 10010004 00000000 | 00000000 00000000 |  0  00000000
  00052 | 00400048 | 0109602a 1 0  8  9 12 | 10010004 00000004 | 10010004 00000000 |  0  00000000
  00053 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 10010008 00000000 |  8  00000002
  00054 | 0040004c | 15800002 1 0 12  0  0 | 00000002 00000003 | 00000000 00000000 |  9  00000003
  00055 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000001 00000003 |  0  00000000
  00056 | 00400054 | 00000000 0 0  0  0  0 | 00000001 00000002 | 00000000 00000000 | 12  00000001
  00057 | 00400058 | 22310004 0 0 17  0 17 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00058 | 0040005c | 216b0001 0 0 11  0 11 | 10010004 00000004 | 00000000 00000000 |  0  00000000
  00059 | 00400060 | 200c0003 0 0  0  0 12 | 00000001 00000001 | 10010008 00000000 |  0  00000000
  0005a | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000002 00000000 | 17  10010008
  0005b | 00400064 | 116c0001 0 1 11 12  0 | 00000000 00000000 | 00000003 00000000 | 11  00000002
  0005c | 00400068 | 0810000f 0 0  0  0  0 | 00000002 00000001 | 00000000 00000000 | 12  00000003
  0005d | 0040003c | 00000000 0 0  0  0  0 | 00000000 0000000f | 00000000 00000003 |  0  00000000
  0005e | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  0005f | 00400044 | 8e290004 0 0 17  0  9 | 10010008 00000000 | 00000000 00000000 |  0  00000000
  00060 | 00400048 | 0109602a 1 0  8  9 12 | 10010008 00000004 | 10010008 00000000 |  0  00000000
  00061 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 1001000c 00000000 |  8  00000003
  00062 | 0040004c | 15800002 1 0 12  0  0 | 00000003 00000004 | 00000000 00000000 |  9  00000004
  00063 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000001 00000004 |  0  00000000
  00064 | 00400054 | 00000000 0 0  0  0  0 | 00000001 00000002 | 00000000 00000000 | 12  00000001
  00065 | 00400058 | 22310004 0 0 17  0 17 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00066 | 0040005c | 216b0001 0 0 11  0 11 | 10010008 00000004 | 00000000 00000000 |  0  00000000
  00067 | 00400060 | 200c0003 0 0  0  0 12 | 00000002 00000001 | 1001000c 00000000 |  0  00000000
  00068 | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000003 00000000 | 17  1001000c
  00069 | 00400064 | 116c0001 0 1 11 12  0 | 00000000 00000000 | 00000003 00000000 | 11  00000003
  0006a | 00400068 | 00000000 0 0  0  0  0 | 00000003 00000001 | 00000000 00000000 | 12  00000003
  0006b | 0040006c | 200b0000 0 0  0  0 11 | 00000000 00000000 | 00000000 00000003 |  0  00000000
  0006c | 00400070 | 214a0001 0 0 10  0 10 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  0006d | 00400074 | 00108820 0 0  0 16 17 | 00000001 00000001 | 00000000 00000000 |  0  00000000
  0006e | 00400078 | 200c0004 0 0  0  0 12 | 00000000 10010000 | 00000002 00000000 | 11  00000000
  0006f | 0040007c | 154cfff0 1 0 10 12  0 | 00000000 00000004 | 10010000 10010000 | 10  00000002
  00070 | 0040007c | 154cfff0 0 1 10 12  0 | 00000000 00000000 | 00000004 00000000 | 17  10010000
  00071 | 0040003c | 00000000 0 0  0  0  0 | 00000002 fffffff0 | 00000000 00000000 | 12  00000004
  00072 | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000004 |  0  00000000
  00073 | 00400044 | 8e290004 0 0 17  0  9 | 10010000 00000000 | 00000000 00000000 |  0  00000000
  00074 | 00400048 | 0109602a 1 0  8  9 12 | 10010000 00000004 | 10010000 00000000 |  0  00000000
  00075 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 10010004 00000000 |  8  00000001
  00076 | 0040004c | 15800002 1 0 12  0  0 | 00000001 00000002 | 00000000 00000000 |  9  00000002
  00077 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000001 00000002 |  0  00000000
  00078 | 00400054 | 00000000 0 0  0  0  0 | 00000001 00000002 | 00000000 00000000 | 12  00000001
  00079 | 00400058 | 22310004 0 0 17  0 17 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  0007a | 0040005c | 216b0001 0 0 11  0 11 | 10010000 00000004 | 00000000 00000000 |  0  00000000
  0007b | 00400060 | 200c0003 0 0  0  0 12 | 00000000 00000001 | 10010004 00000000 |  0  00000000
  0007c | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000001 00000000 | 17  10010004
  0007d | 00400064 | 116c0001 0 1 11 12  0 | 00000000 00000000 | 00000003 00000000 | 11  00000001
  0007e | 00400068 | 0810000f 0 0  0  0  0 | 00000001 00000001 | 00000000 00000000 | 12  00000003
  0007f | 0040003c | 00000000 0 0  0  0  0 | 00000000 0000000f | 00000000 00000003 |  0  00000000
  00080 | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00081 | 00400044 | 8e290004 0 0 17  0  9 | 10010004 00000000 | 00000000 00000000 |  0  00000000
  00082 | 00400048 | 0109602a 1 0  8  9 12 | 10010004 00000004 | 10010004 00000000 |  0  00000000
  00083 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 10010008 00000000 |  8  00000002
  00084 | 0040004c | 15800002 1 0 12  0  0 | 00000002 00000003 | 00000000 00000000 |  9  00000003
  00085 | 0040004c | 15800002 0 1 12  0  0 | 00000000 00000000 | 00000001 00000003 |  0  00000000
  00086 | 00400054 | 00000000 0 0  0  0  0 | 00000001 00000002 | 00000000 00000000 | 12  00000001
  00087 | 00400058 | 22310004 0 0 17  0 17 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00088 | 0040005c | 216b0001 0 0 11  0 11 | 10010004 00000004 | 00000000 00000000 |  0  00000000
  00089 | 00400060 | 200c0003 0 0  0  0 12 | 00000001 00000001 | 10010008 00000000 |  0  00000000
  0008a | 00400064 | 116c0001 1 0 11 12  0 | 00000000 00000003 | 00000002 00000000 | 17  10010008
